Time (s),Channel 1 (V),Channel 2 (V)
-0.011360138,0.999522439,0.003339586
-0.011353888,0.999853577,0.003005707
-0.011347638,0.999853577,0.003005707
-0.011341388,0.999522439,0.003339586
-0.011335138,0.999522439,0.003339586
-0.011328888,0.999522439,0.003339586
-0.011322638,0.999522439,0.003339586
-0.011316388,0.999522439,0.003339586
-0.011310138,0.999522439,0.003339586
-0.011303888,0.999853577,0.003339586
-0.011297638,0.999522439,0.003005707
-0.011291388,0.999522439,0.003005707
-0.011285138,0.999853577,0.003673466
-0.011278888,0.999853577,0.003339586
-0.011272638,0.999522439,0.003339586
-0.011266388,0.999522439,0.003005707
-0.011260138,1.000184715,0.003339586
-0.011253888,1.000184715,0.003005707
-0.011247638,0.999522439,0.003005707
-0.011241388,0.999522439,0.003005707
-0.011235138,0.999853577,0.002671827
-0.011228888,1.000184715,0.003005707
-0.011222638,0.999853577,0.003005707
-0.011216388,0.999853577,0.002671827
-0.011210138,0.999853577,0.002337948
-0.011203888,0.999853577,0.002671827
-0.011197638,0.999853577,0.002337948
-0.011191388,0.999522439,0.002671827
-0.011185138,0.999522439,0.002337948
-0.011178888,0.999853577,0.002337948
-0.011172638,0.999853577,0.002337948
-0.011166388,0.999853577,0.002004069
-0.011160138,0.999522439,0.002337948
-0.011153888,0.999522439,0.002337948
-0.011147638,0.999191301,0.002004069
-0.011141388,0.999191301,0.002004069
-0.011135138,0.999191301,0.002337948
-0.011128888,0.999522439,0.002337948
-0.011122638,0.999191301,0.002337948
-0.011116388,0.999522439,0.002337948
-0.011110138,0.999191301,0.002004069
-0.011103888,0.999853577,0.002337948
-0.011097638,0.999853577,0.002004069
-0.011091388,0.999853577,0.002004069
-0.011085138,0.999853577,0.002004069
-0.011078888,0.999522439,0.001670189
-0.011072638,0.999522439,0.001670189
-0.011066388,0.999191301,0.001670189
-0.011060138,0.999522439,0.001670189
-0.011053888,0.999522439,0.002004069
-0.011047638,1.000184715,0.002004069
-0.011041388,0.999191301,0.002004069
-0.011035138,0.999853577,0.001670189
-0.011028888,0.999522439,0.001670189
-0.011022638,0.999853577,0.002004069
-0.011016388,0.999522439,0.001670189
-0.011010138,0.998860163,0.002337948
-0.011003888,1.000184715,0.002337948
-0.010997638,0.999522439,0.002004069
-0.010991388,0.999191301,0.002337948
-0.010985138,0.999853577,0.002337948
-0.010978888,0.999853577,0.002004069
-0.010972638,0.999853577,0.002671827
-0.010966388,0.999522439,0.002337948
-0.010960138,0.999853577,0.002337948
-0.010953888,0.999853577,0.002337948
-0.010947638,0.999522439,0.002671827
-0.010941388,0.999522439,0.002671827
-0.010935138,0.999853577,0.002671827
-0.010928888,0.999522439,0.003005707
-0.010922638,0.998860163,0.002671827
-0.010916388,0.999522439,0.003005707
-0.010910138,0.999853577,0.003339586
-0.010903888,0.999522439,0.003005707
-0.010897638,0.999522439,0.003005707
-0.010891388,0.999522439,0.003339586
-0.010885138,0.999853577,0.003339586
-0.010878888,0.999191301,0.003339586
-0.010872638,0.999853577,0.003673466
-0.010866388,0.999853577,0.003673466
-0.010860138,1.000184715,0.003673466
-0.010853888,0.999853577,0.003339586
-0.010847638,0.999853577,0.003673466
-0.010841388,1.000184715,0.003673466
-0.010835138,0.999853577,0.003673466
-0.010828888,0.999853577,0.003673466
-0.010822638,0.999522439,0.003339586
-0.010816388,0.999853577,0.003673466
-0.010810138,0.999853577,0.003673466
-0.010803888,0.999853577,0.003339586
-0.010797638,0.999853577,0.003673466
-0.010791388,0.999522439,0.003339586
-0.010785138,0.999522439,0.003339586
-0.010778888,1.000184715,0.003673466
-0.010772638,1.000184715,0.003005707
-0.010766388,0.999853577,0.003339586
-0.010760138,0.999522439,0.003339586
-0.010753888,0.999853577,0.003005707
-0.010747638,0.999853577,0.003005707
-0.010741388,0.999522439,0.002671827
-0.010735138,0.999853577,0.002671827
-0.010728888,0.999853577,0.002671827
-0.010722638,0.999853577,0.002337948
-0.010716388,0.999853577,0.002337948
-0.010710138,0.999522439,0.002004069
-0.010703888,1.000184715,0.002004069
-0.010697638,0.999522439,0.001670189
-0.010691388,0.999853577,0.00133631
-0.010685138,0.999853577,0.001670189
-0.010678888,1.000184715,0.00133631
-0.010672638,0.999853577,0.00133631
-0.010666388,0.999522439,0.001670189
-0.010660138,0.999522439,0.00133631
-0.010653888,0.999853577,0.00133631
-0.010647638,0.999522439,0.00133631
-0.010641388,0.999853577,0.00133631
-0.010635138,0.999853577,0.00133631
-0.010628888,0.999853577,0.00100243
-0.010622638,0.999522439,0.00100243
-0.010616388,0.999191301,0.00133631
-0.010610138,0.999853577,0.00100243
-0.010603888,0.999522439,0.00133631
-0.010597638,0.999522439,0.001670189
-0.010591388,0.999522439,0.002004069
-0.010585138,0.999522439,0.001670189
-0.010578888,0.999853577,0.001670189
-0.010572638,0.999853577,0.001670189
-0.010566388,1.000184715,0.002004069
-0.010560138,0.999853577,0.001670189
-0.010553888,0.999522439,0.002004069
-0.010547638,0.999522439,0.002337948
-0.010541388,0.999522439,0.002004069
-0.010535138,0.999522439,0.002671827
-0.010528888,0.999522439,0.002671827
-0.010522638,0.999853577,0.002671827
-0.010516388,0.999522439,0.002671827
-0.010510138,0.999522439,0.002337948
-0.010503888,0.999853577,0.003005707
-0.010497638,0.999853577,0.003005707
-0.010491388,0.999853577,0.003005707
-0.010485138,0.998860163,0.003339586
-0.010478888,0.999522439,0.003339586
-0.010472638,0.999853577,0.003339586
-0.010466388,0.999853577,0.003339586
-0.010460138,0.998860163,0.003339586
-0.010453888,0.999191301,0.003673466
