Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
6137.620052,-15.33232404,-37.95839635
6180.164001,-15.15992932,-38.53132231
6223.002852,-14.98364145,-39.09102767
6266.138647,-14.81316804,-39.65421257
6309.573445,-14.6374577,-40.19648194
6353.309319,-14.45808484,-40.7620084
6397.348355,-14.28119896,-41.33498381
6441.692655,-14.10305155,-41.93432941
6486.344335,-13.92692568,-42.56448553
6531.305526,-13.74843074,-43.15683151
6576.578374,-13.57044771,-43.80471925
6622.165037,-13.38945384,-44.43518218
6668.067692,-13.2076213,-45.10045823
6714.288529,-13.02643443,-45.7446645
6760.829754,-12.83919009,-46.39341213
6807.693587,-12.65153242,-47.08324479
6854.882265,-12.46650384,-47.78485343
6902.398038,-12.28118457,-48.50618873
6950.243176,-12.09109268,-49.24006472
6998.41996,-11.90497461,-49.95714755
7046.93069,-11.71153269,-50.68338794
7095.77768,-11.52179256,-51.45188941
7144.963261,-11.32968199,-52.23437572
7194.48978,-11.13267113,-53.02345352
7244.359601,-10.942,-53.84199533
7294.575103,-10.74933994,-54.63354363
7345.138682,-10.55405789,-55.47027047
7396.052751,-10.35914749,-56.34637054
7447.319739,-10.16125555,-57.20433669
7498.942093,-9.964559207,-58.0676452
7550.922277,-9.766964318,-58.99018911
7603.262769,-9.567149328,-59.91204046
7655.966069,-9.367544016,-60.84363947
7709.034691,-9.16876494,-61.7961628
7762.471166,-8.964145175,-62.75770198
7816.278046,-8.761611675,-63.75279082
7870.457897,-8.563243256,-64.76407499
7925.013305,-8.361225197,-65.78638824
7979.946873,-8.155428524,-66.84770656
8035.261222,-7.952006308,-67.90671664
8090.958992,-7.750483175,-68.99044633
8147.04284,-7.549111626,-70.11373166
8203.515443,-7.344187835,-71.24797314
8260.379496,-7.141023619,-72.39043386
8317.637711,-6.937895404,-73.55459045
8375.292821,-6.731258176,-74.7507585
8433.347578,-6.529529829,-75.97481206
8491.80475,-6.324457906,-77.20723608
8550.667129,-6.122291242,-78.456343
8609.937522,-5.917651351,-79.74594016
8669.618758,-5.715650144,-81.04108299
8729.713684,-5.512963681,-82.36218727
8790.225168,-5.311389357,-83.72314875
8851.156098,-5.108553323,-85.09008034
8912.509381,-4.908276927,-86.46201615
8974.287945,-4.705536317,-87.8738319
9036.494737,-4.505779808,-89.32336523
9099.132726,-4.30528126,-90.77757283
9162.204901,-4.10690097,-92.25727955
9225.714272,-3.909945813,-93.75726892
9289.663868,-3.711908151,-95.27174377
9354.056741,-3.511475814,-96.80839378
9418.895965,-3.316747057,-98.3756953
9484.184633,-3.121783831,-99.95634477
9549.92586,-2.922242565,-101.5638616
9616.122784,-2.72717034,-103.203709
9682.778563,-2.533416122,-104.8573058
9749.896377,-2.337637476,-106.5256557
9817.47943,-2.141955287,-108.2104007
9885.530947,-1.947914504,-109.9330228
9954.054174,-1.751859121,-111.6704592
10023.05238,-1.557119729,-113.4461822
10092.52886,-1.360659481,-115.2321348
10162.48693,-1.165621662,-117.0432416
10232.92992,-0.968907524,-118.8815563
10303.8612,-0.769973179,-120.7485555
10375.28416,-0.570849329,-122.6496399
10447.20219,-0.371225999,-124.5893603
10519.61874,-0.169227518,-126.5415526
10592.53725,0.035507327,-128.5426778
10665.96121,0.239169879,-130.5780572
10739.89412,0.445646254,-132.6496443
10814.33951,0.655195819,-134.7779898
10889.30093,0.866909376,-136.9567849
10964.78196,1.080122386,-139.189657
11040.7862,1.298418287,-141.4720398
11117.31727,1.517883567,-143.8232599
11194.37883,1.739875917,-146.2667084
11271.97456,1.965444115,-148.7669436
11350.10816,2.19246001,-151.358214
11428.78335,2.420493651,-154.0445316
11508.00389,2.649627516,-156.8468657
11587.77356,2.87982836,-159.743282
11668.09617,3.110726974,-162.7821937
