f,mag,pha
2.03704207770568e+003,-5.89375835289797e-002,1.77161516644740e+002
2.04173794466950e+003,-5.87545346958346e-002,1.77154263857781e+002
2.04644463672464e+003,-5.85705727829503e-002,1.77146989065122e+002
2.05116217882553e+003,-5.83856929128209e-002,1.77139692174836e+002
2.05589059598411e+003,-5.81998901788384e-002,1.77132373094438e+002
2.06062991326997e+003,-5.80131596450934e-002,1.77125031730883e+002
2.06538015581049e+003,-5.78254963461567e-002,1.77117667990564e+002
2.07014134879101e+003,-5.76368952868747e-002,1.77110281779303e+002
2.07491351745487e+003,-5.74473514421842e-002,1.77102873002352e+002
2.07969668710366e+003,-5.72568597568639e-002,1.77095441564381e+002
2.08449088309725e+003,-5.70654151453831e-002,1.77087987369481e+002
2.08929613085400e+003,-5.68730124916349e-002,1.77080510321156e+002
2.09411245585086e+003,-5.66796466487289e-002,1.77073010322316e+002
2.09893988362349e+003,-5.64853124388206e-002,1.77065487275276e+002
2.10377843976644e+003,-5.62900046528453e-002,1.77057941081750e+002
2.10862814993325e+003,-5.60937180503050e-002,1.77050371642844e+002
2.11348903983661e+003,-5.58964473590897e-002,1.77042778859054e+002
2.11836113524846e+003,-5.56981872751900e-002,1.77035162630261e+002
2.12324446200018e+003,-5.54989324625309e-002,1.77027522855724e+002
2.12813904598267e+003,-5.52986775527008e-002,1.77019859434076e+002
2.13304491314654e+003,-5.50974171447580e-002,1.77012172263317e+002
2.13796208950219e+003,-5.48951458049769e-002,1.77004461240814e+002
2.14289060112002e+003,-5.46918580666150e-002,1.76996726263290e+002
2.14783047413050e+003,-5.44875484297170e-002,1.76988967226822e+002
2.15278173472433e+003,-5.42822113608082e-002,1.76981184026835e+002
2.15774440915263e+003,-5.40758412927281e-002,1.76973376558096e+002
2.16271852372698e+003,-5.38684326243438e-002,1.76965544714710e+002
2.16770410481966e+003,-5.36599797203299e-002,1.76957688390113e+002
2.17270117886370e+003,-5.34504769109001e-002,1.76949807477067e+002
2.17770977235312e+003,-5.32399184916164e-002,1.76941901867656e+002
2.18272991184296e+003,-5.30282987230486e-002,1.76933971453277e+002
2.18776162394951e+003,-5.28156118306305e-002,1.76926016124637e+002
2.19280493535041e+003,-5.26018520043051e-002,1.76918035771746e+002
2.19785987278478e+003,-5.23870133983727e-002,1.76910030283915e+002
2.20292646305342e+003,-5.21710901311258e-002,1.76901999549741e+002
2.20800473301886e+003,-5.19540762846888e-002,1.76893943457113e+002
2.21309470960560e+003,-5.17359659046810e-002,1.76885861893196e+002
2.21819641980018e+003,-5.15167530000103e-002,1.76877754744431e+002
2.22330989065136e+003,-5.12964315425473e-002,1.76869621896526e+002
2.22843514927026e+003,-5.10749954669381e-002,1.76861463234450e+002
2.23357222283049e+003,-5.08524386702389e-002,1.76853278642430e+002
2.23872113856830e+003,-5.06287550117196e-002,1.76845068003940e+002
2.24388192378272e+003,-5.04039383125689e-002,1.76836831201697e+002
2.24905460583574e+003,-5.01779823555856e-002,1.76828568117656e+002
2.25423921215239e+003,-4.99508808849285e-002,1.76820278633001e+002
2.25943577022093e+003,-4.97226276058369e-002,1.76811962628140e+002
2.26464430759302e+003,-4.94932161843440e-002,1.76803619982696e+002
2.26986485188378e+003,-4.92626402469533e-002,1.76795250575506e+002
2.27509743077203e+003,-4.90308933804034e-002,1.76786854284608e+002
2.28034207200037e+003,-4.87979691313511e-002,1.76778430987235e+002
2.28559880337539e+003,-4.85638610060607e-002,1.76769980559814e+002
2.29086765276773e+003,-4.83285624701459e-002,1.76761502877952e+002
2.29614864811232e+003,-4.80920669482239e-002,1.76752997816433e+002
2.30144181740846e+003,-4.78543678236531e-002,1.76744465249208e+002
2.30674718872002e+003,-4.76154584382113e-002,1.76735905049392e+002
2.31206479017555e+003,-4.73753320917747e-002,1.76727317089254e+002
2.31739464996843e+003,-4.71339820420455e-002,1.76718701240208e+002
2.32273679635706e+003,-4.68914015041860e-002,1.76710057372809e+002
2.32809125766496e+003,-4.66475836505622e-002,1.76701385356746e+002
2.33345806228096e+003,-4.64025216103646e-002,1.76692685060829e+002
2.33883723865931e+003,-4.61562084693328e-002,1.76683956352988e+002
2.34422881531987e+003,-4.59086372694338e-002,1.76675199100260e+002
2.34963282084826e+003,-4.56598010084806e-002,1.76666413168787e+002
2.35504928389596e+003,-4.54096926398612e-002,1.76657598423802e+002
2.36047823318053e+003,-4.51583050721964e-002,1.76648754729624e+002
2.36591969748571e+003,-4.49056311689491e-002,1.76639881949649e+002
2.37137370566161e+003,-4.46516637481725e-002,1.76630979946346e+002
2.37684028662483e+003,-4.43963955821009e-002,1.76622048581242e+002
2.38231946935864e+003,-4.41398193968279e-002,1.76613087714919e+002
2.38781128291313e+003,-4.38819278719629e-002,1.76604097207002e+002
2.39331575640534e+003,-4.36227136402849e-002,1.76595076916154e+002
2.39883291901944e+003,-4.33621692873739e-002,1.76586026700066e+002
2.40436280000688e+003,-4.31002873512447e-002,1.76576946415447e+002
2.40990542868654e+003,-4.28370603220217e-002,1.76567835918017e+002
2.41546083444489e+003,-4.25724806415536e-002,1.76558695062496e+002
2.42102904673613e+003,-4.23065407030319e-002,1.76549523702601e+002
2.42661009508236e+003,-4.20392328506579e-002,1.76540321691027e+002
2.43220400907376e+003,-4.17705493792376e-002,1.76531088879448e+002
2.43781081836870e+003,-4.15004825338303e-002,1.76521825118500e+002
2.44343055269392e+003,-4.12290245093105e-002,1.76512530257779e+002
2.44906324184469e+003,-4.09561674500871e-002,1.76503204145824e+002
2.45470891568498e+003,-4.06819034496385e-002,1.76493846630112e+002
2.46036760414758e+003,-4.04062245501230e-002,1.76484457557050e+002
2.46603933723429e+003,-4.01291227420075e-002,1.76475036771958e+002
2.47172414501608e+003,-3.98505899636947e-002,1.76465584119069e+002
2.47742205763323e+003,-3.95706181010558e-002,1.76456099441511e+002
2.48313310529552e+003,-3.92891989870824e-002,1.76446582581301e+002
2.48885731828234e+003,-3.90063244014561e-002,1.76437033379333e+002
2.49459472694290e+003,-3.87219860701328e-002,1.76427451675371e+002
2.50034536169638e+003,-3.84361756649605e-002,1.76417837308033e+002
2.50610925303206e+003,-3.81488848031811e-002,1.76408190114786e+002
2.51188643150953e+003,-3.78601050471113e-002,1.76398509931933e+002
2.51767692775880e+003,-3.75698279036170e-002,1.76388796594602e+002
2.52348077248052e+003,-3.72780448237656e-002,1.76379049936736e+002
2.52929799644609e+003,-3.69847472023213e-002,1.76369269791080e+002
2.53512863049785e+003,-3.66899263773527e-002,1.76359455989174e+002
2.54097270554925e+003,-3.63935736297780e-002,1.76349608361340e+002
2.54683025258499e+003,-3.60956801828922e-002,1.76339726736666e+002
2.55270130266119e+003,-3.57962372019483e-002,1.76329810943003e+002
2.55858588690559e+003,-3.54952357936990e-002,1.76319860806946e+002
2.56448403651766e+003,-3.51926670059286e-002,1.76309876153829e+002
