Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1531.087462,0.016643496,-19.58940023,-175.3725797
1541.700453,0.018608488,-19.26280623,-175.5407922
1552.38701,0.018519044,-18.83071796,-177.6910495
1563.147643,0.013924486,-18.13866211,179.6035409
1573.982864,0.017395406,-17.83032762,179.5305174
1584.893192,0.017274362,-17.2408685,177.7643252
1595.879147,0.020084157,-16.59966089,176.3299128
1606.941253,0.019842143,-16.25093885,175.4104531
1618.080038,0.016057423,-15.64717861,173.953594
1629.296033,0.01258644,-15.39693108,172.8893362
1640.589773,0.011040127,-14.75745,171.1715954
1651.961798,0.011376934,-14.14390401,168.5529991
1663.41265,0.015647295,-13.7705297,167.4238743
1674.942876,0.017264255,-13.25931893,165.8127324
1686.553025,0.01247784,-12.64533185,163.298741
1698.243652,0.013431523,-11.99802597,161.3637091
1710.015315,0.012425617,-11.50747034,159.6503797
1721.868575,0.015424615,-11.06121128,156.7825518
1733.803998,0.013391515,-10.47294258,154.4220318
1745.822153,0.017711992,-10.01738819,153.5982722
1757.923614,0.016662982,-9.499425898,150.9009923
1770.108958,0.017248126,-8.827187986,148.2838748
1782.378767,0.016993026,-8.395213559,145.2245751
1794.733627,0.013463242,-7.832220982,142.4043427
1807.174126,0.021988582,-7.329958606,139.8416355
1819.700859,0.021762558,-6.782872121,136.3679626
1832.314422,0.010831863,-6.192854303,133.2374845
1845.015419,0.016288195,-5.763029642,128.9405183
1857.804455,0.017359512,-5.273306723,126.6959374
1870.68214,0.020239369,-4.789050183,122.7463489
1883.649089,0.017053397,-4.272706852,118.7878071
1896.705921,0.016333038,-3.792137956,114.7227856
1909.853259,0.019714988,-3.4716087,111.2351386
1923.091729,0.017100832,-3.016865796,107.1644363
1936.421964,0.007991591,-2.693686897,103.0661272
1949.8446,0.019719523,-2.254691821,99.01864541
1963.360277,0.005520868,-2.022997804,94.28094201
1976.96964,0.017704649,-1.761153902,89.84102929
1990.673339,0.014866251,-1.537275799,85.4667339
2004.472027,0.022886556,-1.259079696,81.37137067
2018.366364,0.018691424,-1.06370706,76.76983412
2032.357011,0.012580096,-0.908928414,73.01834528
2046.444637,0.016488022,-0.675350017,68.90406362
2060.629913,0.011719846,-0.640967257,64.66290161
2074.913517,0.013009133,-0.478697265,60.35429728
2089.296131,0.024749003,-0.418012124,56.62551218
2103.77844,0.015533127,-0.315022017,52.47352428
2118.361135,0.018661773,-0.260202271,48.74812632
2133.044913,0.012133096,-0.313166189,45.6263329
2147.830474,0.016569255,-0.178753674,41.3791266
2162.718524,0.014300668,-0.204719943,38.33561776
2177.709772,0.014196559,-0.190075138,35.30688666
2192.804935,0.016480947,-0.133554853,32.00783638
2208.004733,0.013991183,-0.143075595,28.97341715
2223.309891,0.013868947,-0.132860475,25.49914146
2238.721139,0.013668243,-0.121435494,22.94538202
2254.239212,0.018302276,-0.079810345,20.31334171
2269.864852,0.020998408,-0.123778997,17.56992419
2285.598803,0.013150824,-0.11919305,14.86529286
2301.441817,0.023979666,-0.120405261,11.63449828
2317.39465,0.020306292,-0.086541208,9.333002907
2333.458062,0.01082832,-0.109961955,6.826501574
2349.632821,0.010876085,-0.077635632,4.215348096
2365.919697,0.014218732,-0.069565589,1.302666289
2382.319469,0.02407076,-0.050764239,-1.582141602
2398.832919,0.01450318,-0.088506349,-3.193047798
2415.460834,0.024935302,-0.136520972,-5.466590563
2432.204009,0.018199951,-0.054158601,-8.115588171
2449.063242,0.018803944,-0.064594798,-10.48517189
2466.039337,0.016792135,-0.090243729,-12.4210871
2483.133105,0.011226002,0.039439165,-14.92578305
